"portee.1";"portee.2";"portee.3";"portee.4"
"-25-75";36;21;9;0
"75-175";56;16;11;0
"175-275";35;18;10;0
"275-375";28;97;17;0
"375-475";27;97;10;3
"475-575";29;91;10;4
"575-675";26;99;8;2
"675-775";24;101;8;2
"775-875";39;109;8;2
"875-975";45;201;7;2
"975-1075";53;217;8;3
"1075-1175";140;229;6;2
"1175-1275";191;127;6;3
"1275-1375";213;228;6;2
"1375-1475";265;235;8;1
"1475-1575";331;229;12;1
"1575-1675";322;402;10;0
"1675-1775";323;301;10;0
"1775-1875";315;205;7;0
"1875-1975";221;13;1;0
"1975-2016";187;7;1;0
