"v_urb.1";"v_urb.2";"v_urb.3";"v_urb.4";"v_urb.5";"v_urb.6"
"-25-25";5;0;11;0;0;1
"25-75";29;0;27;0;1;8
"75-125";29;0;39;1;1;5
"125-175";27;0;33;1;1;2
"175-225";26;0;28;1;1;4
"225-275";23;2;23;1;0;4
"275-325";30;78;22;1;1;4
"325-375";22;78;12;3;4;4
"375-425";22;77;16;5;4;4
"425-475";12;76;10;11;5;5
"475-525";12;76;14;15;7;5
"525-575";12;76;10;17;7;4
"575-625";12;76;12;18;13;4
"625-675";11;76;9;17;12;3
"675-725";11;76;9;17;16;3
"725-775";11;76;9;17;14;3
"775-825";11;76;16;18;17;5
"825-875";13;81;14;23;12;4
"875-925";21;168;17;28;13;4
"925-975";21;168;14;28;11;2
"975-1025";22;168;20;34;13;3
"1025-1075";22;180;18;33;15;4
"1075-1125";22;179;79;62;17;3
"1125-1175";9;97;78;69;17;2
"1175-1225";9;79;122;82;22;3
"1225-1275";9;77;115;83;23;3
"1275-1325";11;76;132;100;24;5
"1325-1375";15;167;126;98;25;4
"1375-1425";13;155;170;103;25;4
"1425-1475";12;169;162;97;26;4
"1475-1525";20;154;235;111;30;8
"1525-1575";19;149;231;96;30;8
"1575-1625";94;223;239;98;35;6
"1625-1675";88;143;229;113;36;4
"1675-1725";74;133;229;109;51;4
"1725-1775";67;114;221;120;52;4
"1775-1825";33;103;233;106;47;3
"1825-1875";22;13;214;7;6;0
"1875-1925";13;1;215;4;1;0
"1925-1975";11;1;208;3;1;0
"1975-2016";7;0;185;2;1;0
