"v_usage.12";"v_usage.13";"v_usage.14";"v_usage.15";"v_usage.16";"v_usage.17";"v_usage.18";"v_usage.19";"v_usage.21";"v_usage.22";"v_usage.30";"v_usage.31";"v_usage.32";"v_usage.34";"v_usage.35";"v_usage.36";"v_usage.37";"v_usage.41";"v_usage.42";"v_usage.43";"v_usage.44";"v_usage.51";"v_usage.52";"v_usage.53";"v_usage.61";"v_usage.62";"v_usage.63";"v_usage.65"
"-25-25";0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;1
"25-75";1;11;1;8;1;6;0;1;0;0;1;0;0;0;1;3;22;0;0;0;0;1;0;0;3;4;0;1
"75-125";4;12;0;8;1;3;0;1;0;0;2;0;0;0;1;2;34;1;0;0;0;1;0;0;3;2;0;0
"125-175";3;11;0;8;1;3;0;1;0;0;2;0;0;0;2;2;27;1;0;0;0;1;0;0;1;1;0;0
"175-225";2;11;1;8;1;2;0;1;0;0;1;0;0;0;1;2;24;1;0;0;0;1;0;0;1;1;2;0
"225-275";1;11;1;8;1;1;0;0;0;2;1;0;0;0;1;2;19;1;0;0;0;0;0;0;1;1;2;0
"275-325";1;10;3;13;1;1;1;0;76;2;0;0;0;0;0;2;20;1;0;0;0;1;0;0;1;0;3;0
"325-375";1;10;3;6;1;0;1;0;76;2;0;0;0;0;0;0;12;0;3;0;0;4;0;0;1;0;3;0
"375-425";1;10;3;6;1;0;1;0;76;1;0;0;0;0;0;1;15;0;4;0;1;4;0;0;1;0;3;0
"425-475";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;10;0;9;0;2;5;0;0;1;1;3;0
"475-525";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;14;0;11;2;2;5;0;2;1;1;3;0
"525-575";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;10;0;11;5;1;5;0;2;0;1;3;0
"575-625";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;12;0;10;7;1;9;0;4;0;1;3;0
"625-675";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;9;0;10;7;0;8;0;4;0;0;3;0
"675-725";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;9;0;10;7;0;10;0;6;0;0;3;0
"725-775";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;9;0;10;7;0;7;0;7;0;0;3;0
"775-825";0;6;0;5;0;0;0;0;76;0;1;0;0;0;0;0;15;0;11;7;0;7;2;8;0;1;4;0
"825-875";0;6;0;5;0;0;2;0;81;0;1;0;0;0;0;0;13;0;16;7;0;5;2;5;0;1;3;0
"875-925";0;14;0;5;0;0;2;0;168;0;1;0;0;0;0;0;16;0;19;9;0;5;2;6;0;0;4;0
"925-975";0;14;0;5;0;0;2;0;168;0;1;0;0;0;0;0;13;0;19;9;0;3;2;6;0;0;2;0
"975-1025";0;15;0;5;0;0;2;0;168;0;1;0;0;0;0;0;19;0;25;9;0;3;4;6;0;1;2;0
"1025-1075";0;15;0;5;0;0;2;0;180;0;1;0;1;1;0;0;15;0;25;8;0;3;5;7;0;1;3;0
"1075-1125";0;14;0;0;0;0;8;0;179;0;1;0;1;1;0;0;76;0;30;30;2;3;7;7;0;1;2;0
"1125-1175";0;1;0;0;0;0;8;0;97;0;1;0;1;2;0;0;74;0;34;33;2;3;7;7;0;0;2;0
"1175-1225";0;1;0;0;0;0;8;0;79;0;1;0;2;4;0;0;115;0;32;48;2;3;9;10;0;0;3;0
"1225-1275";0;1;0;0;0;0;8;0;77;0;0;0;1;4;0;0;110;0;28;53;2;3;10;10;0;0;3;0
"1275-1325";1;1;0;0;0;1;8;0;76;0;0;0;1;4;0;0;127;0;31;67;2;3;10;11;0;0;4;1
"1325-1375";1;4;0;0;1;1;8;0;167;0;0;0;1;3;0;0;122;0;28;68;2;2;10;13;0;0;3;1
"1375-1425";1;3;0;0;1;0;8;0;155;0;1;0;2;3;0;0;164;0;26;75;2;2;10;13;0;0;3;1
"1425-1475";1;4;0;0;1;0;6;0;169;0;1;0;4;3;0;0;154;0;27;68;2;2;11;13;0;1;3;0
"1475-1525";0;6;1;0;7;0;6;0;154;0;1;0;4;3;0;0;227;0;31;77;3;2;14;14;0;5;3;0
"1525-1575";0;6;1;0;7;0;5;0;149;0;1;0;4;3;0;0;223;0;27;66;3;1;15;14;0;5;3;0
"1575-1625";0;13;1;0;7;0;73;0;223;0;1;0;6;3;0;0;229;0;25;70;3;1;15;19;0;3;3;0
"1625-1675";0;7;1;0;7;0;73;0;143;0;1;0;7;3;0;0;218;0;26;82;5;1;17;18;0;1;3;0
"1675-1725";0;3;1;0;7;0;63;0;133;0;1;1;8;2;0;0;217;0;25;79;5;1;28;22;0;1;3;0
"1725-1775";0;1;1;0;7;0;58;0;114;0;1;1;8;3;0;0;208;0;25;89;6;1;31;20;0;1;3;0
"1775-1825";0;1;1;0;8;0;23;0;103;0;0;1;4;2;0;0;226;0;26;75;5;1;21;25;0;0;3;0
"1825-1875";0;0;1;0;4;0;17;0;13;0;0;0;0;0;0;0;214;0;4;2;1;0;0;6;0;0;0;0
"1875-1925";0;0;1;0;2;0;10;0;1;0;0;0;0;0;0;0;215;0;3;1;0;0;0;1;0;0;0;0
"1925-1975";0;0;1;0;2;0;8;0;1;0;0;0;0;0;0;0;208;0;2;1;0;0;0;1;0;0;0;0
"1975-2016";0;0;1;0;1;0;5;0;0;0;0;0;0;0;0;0;185;0;2;0;0;0;0;1;0;0;0;0
